"Production Type","2016 [MW]","2017 [MW]","2018 [MW]"
"Biomass","1610","1625","1354"
"Fossil Brown coal/Lignite","0","0","0"
"Fossil Coal-derived gas","766","946","2025"
"Fossil Gas","29923","39868","39103"
"Fossil Hard coal","6386","7902","6030"
"Fossil Oil","8802","4928","2475"
"Fossil Oil shale","N/A","N/A","N/A"
"Fossil Peat","0","0","0"
"Geothermal","869","869","869"
"Hydro Pumped Storage","7064","7157","6453"
"Hydro Run-of-river and poundage","10482","10389","10826"
"Hydro Water Reservoir","4226","4375","4733"
"Marine","0","0","0"
"Nuclear","N/A","N/A","N/A"
"Other","13911","1708","5788"
"Other renewable","0","2","2"
"Solar","4768","4659","4719"
"Waste","248","241","142"
"Wind Offshore","0","0","0"
"Wind Onshore","8739","9024","9261"
"Total Grand capacity","97794","93693","93780"
